USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.0  0.2  50220 42028 ?        Ss   Dec11   2:57 /usr/lib/systemd/systemd --switched-root --system --deserialize=43 rhgb
dbus         994  0.0  0.0   8476  6532 ?        S    Dec11   0:15 dbus-broker --log 4 --controller 9 --machine-id 2da3a872993543b685996351c9d0f763 --max-bytes 536870912 --max-fds 4096 --max-matches 131072 --audit
avahi        995  0.0  0.0  24436  4572 ?        Ss   Dec11   0:01 avahi-daemon: running [client-centos.local]
root         998  0.0  0.0  80412  3332 ?        Ssl  Dec11   0:19 /usr/sbin/irqbalance
libstor+     999  0.0  0.0   2504  1840 ?        Ss   Dec11   0:01 /usr/bin/lsmd -d
root        1000  0.0  0.0   3096  1956 ?        Ss   Dec11   0:00 /usr/sbin/mcelog --daemon --foreground
polkitd     1001  0.0  0.1 331416 20920 ?        Ssl  Dec11   0:09 /usr/lib/polkit-1/polkitd --no-debug --log-level=err
rtkit       1003  0.0  0.0  21316  3032 ?        SNsl Dec11   0:04 /usr/libexec/rtkit-daemon
root        1005  0.0  0.0   9580  5936 ?        Ss   Dec11   0:00 /usr/sbin/smartd -n -q never --capabilities=mail
root        1010  0.0  0.0 527740  6720 ?        Ssl  Dec11   0:00 /usr/libexec/switcheroo-control
root        1011  0.0  0.0 542124 13776 ?        Ssl  Dec11   1:34 /usr/libexec/udisks2/udisksd
root        1012  0.0  0.0 530668  7560 ?        Ssl  Dec11   0:00 /usr/libexec/upowerd
root        1028  0.0  0.0   4304  2884 ?        SNs  Dec11   0:00 /usr/sbin/alsactl -s -n 19 -c -E ALSA_CONFIG_PATH=/etc/alsa/alsactl.conf --initfile=/lib/alsa/init/00main rdaemon
avahi       1034  0.0  0.0  24284  1720 ?        S    Dec11   0:00 avahi-daemon: chroot helper
chrony      1041  0.0  0.0  84620  3924 ?        S    Dec11   0:00 /usr/sbin/chronyd -F 2
sssd        1064  0.0  0.1 304320 19520 ?        Ss   Dec11   0:01 /usr/sbin/sssd -i --logger=files
root        1070  0.0  0.0 316300 11848 ?        Ssl  Dec11   0:00 /usr/sbin/ModemManager
root        1071  0.0  0.3 365160 50156 ?        Ssl  Dec11   0:05 /usr/bin/python3 -sP /usr/sbin/firewalld --nofork --nopid
sssd        1085  0.0  0.3 337368 54372 ?        S    Dec11   0:07 /usr/libexec/sssd/sssd_nss --logger=files
sssd        1086  0.0  0.1  79420 20096 ?        S    Dec11   0:05 /usr/libexec/sssd/sssd_pam --logger=files
sssd        1087  0.0  0.1 302712 17876 ?        S    Dec11   0:05 /usr/libexec/sssd/sssd_pac --logger=files
root        1088  0.0  0.0 537228  7988 ?        Ssl  Dec11   0:11 /usr/libexec/accounts-daemon
root        1089  0.0  0.0  18988 11164 ?        Ss   Dec11   0:04 /usr/lib/systemd/systemd-logind
root        1168  0.0  0.1 554736 20260 ?        Ssl  Dec11   3:28 /usr/sbin/NetworkManager --no-daemon
root        1191  0.0  0.0 259748 10352 ?        Ss   Dec11   0:00 /usr/sbin/cupsd -l
root        1192  0.0  0.0   7656  3860 ?        Ss   Dec11   0:00 /usr/sbin/oddjobd -n -p /run/oddjobd.pid -t 300
root        1203  0.0  0.1 489260 30372 ?        Ssl  Dec11   1:55 /usr/bin/python3 -Es /usr/sbin/tuned -l -P
root        1204  0.0  0.3 2099452 63416 ?       Ssl  Dec11   1:38 /usr/bin/containerd
root        1215  0.0  0.2 681540 33856 ?        Ssl  Dec11   0:57 /usr/bin/anydesk --service
root        1216  0.0  0.0  11488  2876 ?        Ss   Dec11   0:00 /usr/sbin/atd -f
root        1217  0.0  0.0 229720  3568 ?        Ss   Dec11   0:01 /usr/sbin/crond -n
root        1218  0.0  0.0 538228  9128 ?        Ssl  Dec11   0:00 /usr/sbin/gdm
root        1269  0.0  0.1 487604 28376 ?        Ssl  Dec11   0:58 /usr/bin/python3 -Es /usr/sbin/tuned-ppd -l
root        1299  0.0  0.2 347596 34780 ?        Ssl  Dec11   1:03 /usr/sbin/rsyslogd -n
root        1752  0.1  0.6 3565196 110200 ?      Ssl  Dec11  23:03 /usr/bin/dockerd -H fd:// --containerd=/run/containerd/containerd.sock
colord      2278  0.0  0.0 533860 11372 ?        Ssl  Dec11   0:00 /usr/libexec/colord
root        2777  0.0  0.0  15244  5668 ?        Ss   Dec11   0:02 /usr/sbin/wpa_supplicant -c /etc/wpa_supplicant/wpa_supplicant.conf -u -s
root        3573  0.0  0.1 645020 24112 ?        Ssl  Dec11   0:25 /usr/libexec/fwupd/fwupd
root      147182  0.0  0.1 1238876 17960 ?       Sl   Dec21   0:12 /usr/bin/containerd-shim-runc-v2 -namespace moby -id 3bc395a33ea2ac0da69efe95539c3d193a749ffe47b8123ed191029139a504c5 -address /run/containerd/containerd.sock
systemd+  147204  0.1  0.1  67212 27592 ?        Ssl  Dec21   6:43 redis-server *:6379
root      147239  0.0  0.0 1745264 8388 ?        Sl   Dec21   0:00 /usr/bin/docker-proxy -proto tcp -host-ip 0.0.0.0 -host-port 6379 -container-ip 172.18.0.2 -container-port 6379 -use-listen-fd
root      147247  0.0  0.0 1671532 6184 ?        Sl   Dec21   0:00 /usr/bin/docker-proxy -proto tcp -host-ip :: -host-port 6379 -container-ip 172.18.0.2 -container-port 6379 -use-listen-fd
root      150152  0.0  0.1 1238876 17964 ?       Sl   Dec21   0:12 /usr/bin/containerd-shim-runc-v2 -namespace moby -id d868fbcbf48c63c71fb3468f2f5c71a4ad6c9623368e2d51613223746aca1b1f -address /run/containerd/containerd.sock
root      150176  0.0  0.0  10456  6740 ?        Ss   Dec21   0:00 nginx: master process nginx -g daemon off;
root      150227  0.0  0.0 1671532 6428 ?        Sl   Dec21   0:00 /usr/bin/docker-proxy -proto tcp -host-ip 0.0.0.0 -host-port 80 -container-ip 172.18.0.7 -container-port 80 -use-listen-fd
root      150234  0.0  0.0 1745264 6328 ?        Sl   Dec21   0:00 /usr/bin/docker-proxy -proto tcp -host-ip :: -host-port 80 -container-ip 172.18.0.7 -container-port 80 -use-listen-fd
root      150242  0.0  0.0 1671532 6408 ?        Sl   Dec21   0:00 /usr/bin/docker-proxy -proto tcp -host-ip 0.0.0.0 -host-port 443 -container-ip 172.18.0.7 -container-port 443 -use-listen-fd
root      150249  0.0  0.0 1671532 6352 ?        Sl   Dec21   0:00 /usr/bin/docker-proxy -proto tcp -host-ip :: -host-port 443 -container-ip 172.18.0.7 -container-port 443 -use-listen-fd
101       150276  0.0  0.0  11060  6920 ?        S    Dec21   0:00 nginx: worker process
101       150277  0.0  0.0  11060  6940 ?        S    Dec21   0:00 nginx: worker process
101       150278  0.0  0.0  11068  6976 ?        S    Dec21   0:00 nginx: worker process
101       150279  0.0  0.0  11100  7008 ?        S    Dec21   0:00 nginx: worker process
root      154729  0.0  0.1 1239132 17920 ?       Sl   Dec22   0:11 /usr/bin/containerd-shim-runc-v2 -namespace moby -id c2f3bea820957f7af34ab99857d6df7f81d47ec8fc24c29a8e5bae62e0cd7a88 -address /run/containerd/containerd.sock
root      154751  0.0  0.0  10172  6336 ?        Ss   Dec22   0:00 nginx: master process nginx -g daemon off;
101       154808  0.0  0.0  10660  3600 ?        S    Dec22   0:00 nginx: worker process
101       154809  0.0  0.0  10660  3600 ?        S    Dec22   0:00 nginx: worker process
101       154810  0.0  0.0  10660  3600 ?        S    Dec22   0:00 nginx: worker process
101       154811  0.0  0.0  10660  3600 ?        S    Dec22   0:00 nginx: worker process
root      160060  0.0  0.1 1239132 17896 ?       Sl   Dec22   0:09 /usr/bin/containerd-shim-runc-v2 -namespace moby -id bd30a576d66093aedd408523958d214959eabdb6fb57525f377bcd8c2f4bae47 -address /run/containerd/containerd.sock
root      160084  0.0  0.4 1086848 72476 ?       Ssl  Dec22   0:00 node src/index.js
root      160119  0.0  0.0 1671532 6304 ?        Sl   Dec22   0:00 /usr/bin/docker-proxy -proto tcp -host-ip 0.0.0.0 -host-port 3005 -container-ip 172.18.0.6 -container-port 3005 -use-listen-fd
root      160126  0.0  0.0 1671532 6308 ?        Sl   Dec22   0:00 /usr/bin/docker-proxy -proto tcp -host-ip :: -host-port 3005 -container-ip 172.18.0.6 -container-port 3005 -use-listen-fd
root      160146  0.0  0.4 1122744 79808 ?       Sl   Dec22   0:01 /usr/local/bin/node /app/src/index.js
root      160147  0.0  0.4 1122508 79392 ?       Sl   Dec22   0:01 /usr/local/bin/node /app/src/index.js
root      160148  0.0  0.5 1122996 81908 ?       Sl   Dec22   0:01 /usr/local/bin/node /app/src/index.js
root      160149  0.0  0.4 1122596 79600 ?       Sl   Dec22   0:01 /usr/local/bin/node /app/src/index.js
root      162404  0.0  0.1 1239132 18008 ?       Sl   Dec22   0:10 /usr/bin/containerd-shim-runc-v2 -namespace moby -id 6d4c56061092c079aa86481e323e1d6fb60af6552bd9c1cc2ced2f49fd9aaa5d -address /run/containerd/containerd.sock
10001     162426  0.2  0.8 1363000 136692 ?      Ssl  Dec22   6:58 /usr/bin/loki -config.file=/etc/loki/local-config.yaml
root      162462  0.0  0.0 1671532 6176 ?        Sl   Dec22   0:00 /usr/bin/docker-proxy -proto tcp -host-ip 0.0.0.0 -host-port 3100 -container-ip 172.18.0.8 -container-port 3100 -use-listen-fd
root      162469  0.0  0.0 1818996 8340 ?        Sl   Dec22   0:00 /usr/bin/docker-proxy -proto tcp -host-ip :: -host-port 3100 -container-ip 172.18.0.8 -container-port 3100 -use-listen-fd
root      162502  0.0  0.1 1238876 17904 ?       Sl   Dec22   0:09 /usr/bin/containerd-shim-runc-v2 -namespace moby -id 432360e643bebbcc69fb4d0eb0c3286e5d0f466ccdc14f61e84c869303291bb1 -address /run/containerd/containerd.sock
root      162526  0.3  0.6 2060952 104792 ?      Ssl  Dec22   9:24 /usr/bin/promtail -config.file=/etc/promtail/config.yaml
root      162993  0.0  0.1 1238876 17956 ?       Sl   Dec22   0:09 /usr/bin/containerd-shim-runc-v2 -namespace moby -id dd4a1ff582c9d1627103c2e38b5e23d5f09e165135bcc40e7b7fc43b08ca7448 -address /run/containerd/containerd.sock
472       163016  0.0  0.9 1508344 149116 ?      Ssl  Dec22   1:40 grafana server --homepath=/usr/share/grafana --config=/etc/grafana/grafana.ini --packaging=docker cfg:default.log.mode=console cfg:default.paths.data=/var/lib/grafana cfg:default.paths.logs=/var/log/grafana cfg:default.paths.plugins=/var/lib/grafana/plugins cfg:default.paths.provisioning=/etc/grafana/provisioning
root      163052  0.0  0.0 1745520 8424 ?        Sl   Dec22   0:00 /usr/bin/docker-proxy -proto tcp -host-ip 0.0.0.0 -host-port 3001 -container-ip 172.18.0.10 -container-port 3000 -use-listen-fd
root      163060  0.0  0.0 1745264 6328 ?        Sl   Dec22   0:00 /usr/bin/docker-proxy -proto tcp -host-ip :: -host-port 3001 -container-ip 172.18.0.10 -container-port 3000 -use-listen-fd
root      186306  0.0  0.1 1238876 20012 ?       Sl   Dec23   0:06 /usr/bin/containerd-shim-runc-v2 -namespace moby -id 6f7c6f4b097f151085a94f84857708c872cbcbb8fee4bf5095479efbf5f43235 -address /run/containerd/containerd.sock
avahi     186329  0.0  0.1 173796 26980 ?        Ss   Dec23   0:03 postgres
root      186364  0.0  0.0 1819252 8460 ?        Sl   Dec23   0:00 /usr/bin/docker-proxy -proto tcp -host-ip 0.0.0.0 -host-port 5432 -container-ip 172.18.0.4 -container-port 5432 -use-listen-fd
root      186372  0.0  0.0 1745264 6336 ?        Sl   Dec23   0:00 /usr/bin/docker-proxy -proto tcp -host-ip :: -host-port 5432 -container-ip 172.18.0.4 -container-port 5432 -use-listen-fd
avahi     186407  0.0  0.1 174064 23252 ?        Ss   Dec23   0:00 postgres: checkpointer 
avahi     186408  0.0  0.0 173900  7108 ?        Ss   Dec23   0:00 postgres: background writer 
avahi     186410  0.0  0.0 173868  9512 ?        Ss   Dec23   0:00 postgres: walwriter 
avahi     186411  0.0  0.0 175480  7692 ?        Ss   Dec23   0:00 postgres: autovacuum launcher 
avahi     186412  0.0  0.0 175408  6960 ?        Ss   Dec23   0:00 postgres: logical replication launcher 
avahi     189762  0.0  0.0 709388 15724 ?        Sl   Dec23   0:47 /tmp/kinsing
root      194696  0.0  0.0   9132  6896 ?        Ss   Dec23   0:00 sshd: /usr/sbin/sshd -D [listener] 0 of 10-100 startups
root      200066  0.0  0.1 1238876 17876 ?       Sl   Dec23   0:05 /usr/bin/containerd-shim-runc-v2 -namespace moby -id 8d08807de87f9e70d1a4c36a5d3006dda6ea4a5c0f1aa1fd080e785c494f219c -address /run/containerd/containerd.sock
root      200089  0.0  0.6 1143492 101056 ?      Ssl  Dec23   0:13 node dist/index.js
root      201874  0.0  0.0      0     0 ?        I<   Dec23   0:00 [kworker/u17:1]
root      204293  0.0  0.0 634104 11288 ?        Sl   Dec23   0:00 gdm-session-worker [pam/gdm-password]
admin     204306  0.0  0.0  24032 15080 ?        Ss   Dec23   0:00 /usr/lib/systemd/systemd --user
admin     204308  0.0  0.0  33908  2964 ?        S    Dec23   0:00 (sd-pam)
admin     204327  0.0  0.0 534168  7776 ?        Sl   Dec23   0:00 /usr/bin/gnome-keyring-daemon --daemonize --login
admin     204345  0.0  0.0 453600  5712 tty2     Ssl+ Dec23   0:00 /usr/libexec/gdm-wayland-session /usr/bin/gnome-session
admin     204349  0.0  0.0   8660  3944 ?        Ss   Dec23   0:00 /usr/bin/dbus-broker-launch --scope user
admin     204352  0.0  0.0   6760  4644 ?        S    Dec23   0:00 dbus-broker --log 4 --controller 9 --machine-id 2da3a872993543b685996351c9d0f763 --max-bytes 100000000000000 --max-fds 25000000000000 --max-matches 5000000000
admin     204357  0.0  0.0 555380 13872 tty2     Sl+  Dec23   0:00 /usr/libexec/gnome-session-binary
admin     204412  0.0  0.3 845468 57264 ?        SLsl Dec23   0:00 /usr/libexec/gnome-remote-desktop-daemon
admin     204413  0.0  0.0 307900  5020 ?        Ssl  Dec23   0:00 /usr/libexec/gnome-session-ctl --monitor
admin     204417  0.0  0.0 777404 15236 ?        Ssl  Dec23   0:00 /usr/libexec/gnome-session-binary --systemd-service --session=gnome
admin     204446  0.0  1.2 4623352 198484 ?      Ssl  Dec23   0:41 /usr/bin/gnome-shell
admin     204458  0.0  0.0 535420  8844 ?        Ssl  Dec23   0:00 /usr/libexec/gvfsd
admin     204464  0.0  0.0 677628  6824 ?        Sl   Dec23   0:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f
admin     204496  0.0  0.0 380356  7212 ?        Ssl  Dec23   0:00 /usr/libexec/at-spi-bus-launcher
admin     204502  0.0  0.0   8528  3864 ?        S    Dec23   0:00 /usr/bin/dbus-broker-launch --config-file=/usr/share/defaults/at-spi2/accessibility.conf --scope user
admin     204503  0.0  0.0   4768  2652 ?        S    Dec23   0:00 dbus-broker --log 4 --controller 9 --machine-id 2da3a872993543b685996351c9d0f763 --max-bytes 100000000000000 --max-fds 6400000 --max-matches 5000000000
